PIO_CAPTURING...
PIO_CAPTURE_DONE count=32768 sample_hz=33250000.0
BEGIN_PIO_CAPTURE
sample_hz=33250000.0
idx,delta_ns,p6,fd7,fd6,fd5,fd4,fd3,fd2,fd1,fd0,reb,p16,p17,p18,p19,rst-,p21,p22
0,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
3,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
4,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
5,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
6,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
7,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
8,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
9,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
10,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
11,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
12,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
13,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
14,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
15,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
16,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
17,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
18,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
19,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
20,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
21,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
22,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
23,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
24,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
25,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
26,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
27,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
28,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
29,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
30,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
31,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
32,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
33,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
34,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
35,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
36,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
37,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
38,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
39,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
40,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
41,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
42,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
43,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
44,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
45,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
46,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
47,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
48,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
49,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
50,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
51,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
52,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
53,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
54,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
55,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
56,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
57,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
58,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
59,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
60,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
61,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
62,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
63,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
64,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
65,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
66,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
67,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
68,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
69,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
